"Charity Number","Charity Subsidiary Number","Charity Name","Charity Address","Charity Postcode","Charity Constituency","Phone","Email","Website","Last Recorded Financial Year","Last Recorded Income","Last Recorded Expenditure","Charity Status","Charity Type","How the charity helps","What the charity does","Who the charity helps","Activities","Charity Objects"
"1000959","0","VARNDEAN SCHOOL DEVELOPMENT TRUST FUND","Varndean High School, Balfour Road, BRIGHTON","BN1 6NP","Brighton Pavilion","01273545234","school@varndean.co.uk","www.varndean.co.uk","31/08/2024","232","2460","Registered","Other","Provides Other Finance","Education/training","Children/young People","Raises funds from School supporters to finance additional school facilities and advance the education and personal development of the students in the School.","TO ADVANCE THE EDUCATION OF THE PUPILS IN VARNDEAN SCHOOL"
"1001560","0","BRIGHTON TOY AND MODEL MUSEUM","BRIGHTON TOY &amp; MODEL MUSEUM, 52-55 TRAFALGAR STREET, BRIGHTON","BN1 4EB","Brighton Pavilion","01273749494","info@brightontoymuseum.co.uk","www.brightontoymuseum.co.uk","31/12/2024","233169","229461","Registered","Charitable company","Sponsors Or Undertakes Research, Other Charitable Activities","Education/training, Arts/culture/heritage/science, Environment/conservation/heritage","Children/young People, Elderly/old People, People With Disabilities, Other Charities Or Voluntary Bodies, Other Defined Groups, The General Public/mankind","The Brighton Toy and Model Museum exhibits and cares for toys and commercial models from the last four centuries and preserves them to educate and inspire people of all ages.","TO ADVANCE THE EDUCATION OF THE GENERAL PUBLIC IN SUSSEX BY THE PROVISION OF A TOY AND MODEL MUSEUM"
"1001889","0","ROTTINGDEAN AND SALTDEAN LIONS CLUB CHARITABLE TRUST FUND","10 HAWTHORN CLOSE, SALTDEAN, BRIGHTON","BN2 8HX","Brighton Kemptown and Peacehaven","03458339617","info@rottingdeanandsaltdeanlions.org.uk","www.rottingdeanandsaltdeanlions.org.uk","30/06/2024","12222","19151","Registered","Trust","Makes Grants To Individuals, Makes Grants To Organisations, Provides Human Resources","General Charitable Purposes","Children/young People, Elderly/old People, People With Disabilities, Other Charities Or Voluntary Bodies, The General Public/mankind","Lions voluteer their time to humanitarian causes helping those less fortunate than themselves.  They particularly focus on their local community in the belief that those who live in a community are in the best position to know who needs help and why.  Wherever there is suffering from natural, or man made, disasters you can count on Lions Club members to provide help.  Our motto is ""WE SERVE"".","ANY PURPOSE WHICH IS CHARITABLE ACCORDING TO THE LAW OF ENGLAND AND WALES WHETHER FOR THE BENEFIT OF ANY INDIVIDUAL OR GROUP OF PEOPLE OR FOR THE BENEFIT OF ANY OTHER ORGANIZATION ESTABLISHED FOR CHARITABLE PURPOSES."
"1003790","0","BRIGHTON WOMEN'S CENTRE","Brighton Womens Centre, 22 Richmond Place, BRIGHTON","BN2 9NA","Brighton Kemptown and Peacehaven","01273 698036","lisadando@womenscentre.org.uk","www.womenscentre.org.uk","31/03/2024","1454755","1250251","Registered","Charitable company","Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information","Education/training, The Prevention Or Relief Of Poverty","Children/young People, Other Defined Groups","Brighton Women's Centre provides a range of services to the women of Sussex. Its aims are to protect and preserve physical and mental health, to promote education and to relieve poverty.","(A) TO PROTECT AND PRESERVE THE PHYSICAL AND MENTAL HEALTH OF AND TO PROMOTE THE EDUCATION OF WOMEN IN THE SOUTH EAST OF ENGLAND IN PARTICULAR BY THE PROVISION OF ADVICE AND COUNSELLING SERVICES. (B) TO RELIEVE POVERTY AMONGST WOMEN IN THE AREA OF BENEFIT."
"1003817","0","THE BRIAN MITCHELL CHARITABLE SETTLEMENT","Caladine Ltd, 22 Upperton Road, EASTBOURNE, East Sussex","BN21 1BF","Eastbourne","01323644579","CHARITIES@CALADINE.CO.UK","","31/03/2025","130177","29064","Registered","Trust","Makes Grants To Organisations","General Charitable Purposes","Other Charities Or Voluntary Bodies","Grant making from income received from an investment portfolio.","TO SUPPORT OR PROMOTE SUCH CHARITABLE PURPOSES AS  THE TRUSTEES MAY IN THEIR ABSOLUTE DISCRETION DETERMINE."
"1004207","0","MOULSECOOMB HALL ASSOCIATION","Moulsecoomb Community Hall, Lewes Road, BRIGHTON","BN2 4GA","Brighton Pavilion","07876631463","moulsecoombcommunityhall@gmail.com","www.facebook.com/MoulsecoombHall","31/03/2021","10361","3587","Registered","Other","Provides Buildings/facilities/open Space","The Prevention Or Relief Of Poverty, Religious Activities, Arts/culture/heritage/science, Amateur Sport, Recreation","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, Other Defined Groups, The General Public/mankind","we are running our community hall for the benefit of our local community who use it on a regular basis for all sorts of functions that encompass all age groups","TO ESTABLISH OR TO SECURE THE ESTABLISHMENT OF THE MOULSECOOMB COMMUNITY HALL AND TO MAINTAIN AND MANAGE, OR TO CO-OPERATE WITH ANY LOCAL STATUTORY AUTHORITY IN THE MAINTENANCE AND MANAGEMENT OF SUCH A HALL FOR THE USE OF INHABITANTS OF THE AREA OF BENEFIT WITHOUT DISTINCTION OF SEX OR OF POLITICAL, RELIGIOUS OR OTHER OPINIONS, AND IN PARTICULAR FOR USE FOR MEETINGS, LECTURES AND CLASSES, AND FOR OTHER FORMS OF RECREATION AND LEISURE-TIME OCCUPATION, WITH THE OBJECT OF IMPROVING THE CONDITIONS OF LIFE FOR THE SAID INHABITANTS."
"1011288","0","COTTESMORE ST MARY'S RC PRIMARY SCHOOL PARENT TEACHER ASSOCIATION","COTTESMORE ST. MARYS RC PRIMARY SCH, THE UPPER DRIVE, HOVE","BN3 6NB","Hove and Portslade","01273555811","katiehead06@gmail.com","","31/08/2024","17536","11022","Registered","Other","Makes Grants To Organisations","General Charitable Purposes","Other Defined Groups","The object of the association is to advance the education of the pupils in the school. This is achieved through:* Develop more extended relatonships between staff, parents & others associated with the school.* Provide additional facilities for education at the school   * Engage in activities which support the school and advance the education of the pupils.","THE ADVANCEMENT OF THE EDUCATION OF THE PUPILS OF COTTESMORE ST MARY'S RC PRIMARY SCHOOL."
"1011724","0","THE BRIGHTON FUND","Brighton & Hove City Council, Democratic Services, Room 167, Hove Town Hall","Norton R","","0000 000000","brightonfund@brighton-hove.gov.uk","","31/03/2024","63728","12710","Registered","Other","Makes Grants To Individuals","The Prevention Or Relief Of Poverty","Children/young People, Elderly/old People, People With Disabilities, The General Public/mankind","A) The relief of persons in the area of benefit over the age of 60 who are in need, hardship or distress and B) The general relief of persons resident in the area of benefit who are in need, hardship or distress.","A) THE RELIEF OF PERSONS IN THE AREA OF BENEFIT OVER THE AGE OF 60 WHO ARE IN NEED, HARDSHIP OR DISTRESS AND B) THE GENERAL RELIEF OF PERSONS RESIDENT IN THE AREA OF BENEFIT WHO ARE IN NEED, HARDSHIP OR DISTRESS."
"1012216","0","THE BRUNSWICK TOWN CHARITABLE TRUST","The Regency Town House, 13 Brunswick Square, Hove","BN3 1EH","Hove and Portslade","01273 206306","nick@rth.org.uk","http://www.rth.org.uk","30/06/2024","62500","75037","Registered","Trust","Provides Human Resources, Provides Buildings/facilities/open Space, Provides Advocacy/advice/information, Sponsors Or Undertakes Research, Acts As An Umbrella Or Resource Body","Education/training, Arts/culture/heritage/science, Environment/conservation/heritage, Economic/community Development/employment","Children/young People, Other Defined Groups, The General Public/mankind","History,conservation and education, with a main focus on the Regency period and Brighton & Hove but with historical and geographical interests beyond these where appropriate.","THE CHARITABLE OBJECTS SHALL MEAN THE PRESERVATION AND CONSERVATION FOR THE BENEFIT OF THE GENERAL PUBLIC THE HISTORICAL ARCHITECTURAL AND CONSTRUCTIONAL HERITAGE OF THE RELEVANT BUILDINGS AS AN EXAMPLE OF THE ARCHITECTURE AND DESIGN OF ITS PERIOD AND THE TECHNIQUES AND METHODS PROPERLY APPLICABLE TO THE PRESERVATION AND CONSERVATION OF SUCH RELEVANT BUILDING."
"1013621","0","FRIENDS OF DOWNS VIEW","DOWNS VIEW SCHOOL, WARREN ROAD, BRIGHTON","BN2 6BB","Brighton Kemptown and Peacehaven","01273 601680","info@friendsofdownsview.org.uk","http://friendsofdownsview.org.uk/","31/08/2024","5646","83076","Registered","Other","Makes Grants To Individuals, Provides Other Finance, Other Charitable Activities","General Charitable Purposes, Education/training, Disability","Children/young People, People With Disabilities","Fundraise for school infrastructure improvement projects, to provide social actvities for pupils and their families, and specialist equipment not provided by the LEA for pupils.","TO ADVANCE THE EDUCATION OF THE PUPILS AT DOWNS VIEW SPECIAL SCHOOL"
"1015691","0","THE DHARMA PRIMARY SCHOOL","The Dharma School, P.O Box 5574, BRIGHTON","BN50 8UU","Brighton Pavilion","01273 000000","office@dharmaschool.co.uk","www.dharmaschool.co.uk","31/08/2022","0","28626","Registered","Charitable company","Makes Grants To Individuals, Makes Grants To Organisations, Provides Buildings/facilities/open Space","Education/training, Religious Activities","Children/young People","Ongoing running of the school, hiring of staff and provision of school equipment.","TO ADVANCE THE EDUCATION IN ACCORDANCE WITH DHAMMIC PRINCIPLES OF THE PUBLIC IN PARTICULAR BUT WITHOUT PREJUDICE TO THE GENERALITY OF THE FOREGOING BY THE ESTABLISHMENT AND CARRYING ON OF A SCHOOL OR SCHOOLS. THE COMPANY SHALL PROVIDE EDUCATION IN THE SCIENCES THE ARTS THE HUMANITIES AND RELIGION IN DHAMMIC PRINCIPLE SKILFUL LIVING ACCORDING TO THE PANCASILA THE BETTER USE OF RESOURCES ECOLOGY AND THE ENVIRONMENT PRACTICAL SKILLS AND CRAFTS COMMUNAL RELATIONSHIPS PARTICULARLY WITH THE SANGHA AND THE LOCAL COMMUNITY"
"1015728","0","THE CARERS CENTRE FOR BRIGHTON AND HOVE LIMITED","Brighton Junction 1A Isetta Square, 35 New England Street","BN1 4GQ","Brighton Pavilion","01273746222","info@thecarerscentre.org","www.thecarerscentre.org","31/03/2024","751470","835721","Registered","Charitable company","Provides Services, Provides Advocacy/advice/information","General Charitable Purposes, The Advancement Of Health Or Saving Of Lives, Disability, The Prevention Or Relief Of Poverty","Children/young People, Elderly/old People, People With Disabilities, The General Public/mankind","The Carers Centre for Brighton & Hove takes a holistic approach to all its work, considering the needs of carers, and those they care for. Core activities include information and advice giving, advocacy work, emotional support, one to one casework, support groups and activities for both adult carers and young carers.","TO PRESERVE AND PROTECT THE PHYSICAL AND MENTAL HEALTH AND RELIEVE THE SICKNESS OF CARERS AND THOSE PERSONS FOR WHOM THEY ARE CARING IN THE AREA AND TO ADVANCE EDUCATION CONCERNING CARING AMONGST CARERS AND THE PUBLIC IN THE AREA OF THE BOROUGH OF BRIGHTON & HOVE AND ITS SURROUNDING AREAS.
A CARER IS ""ANYONE WHO IS LEADING A RESTRICTED LIFE BECAUSE OF THE NEED TO LOOK AFTER A PERSON WHO IS MENTALLY OR PHYSICALLY HANDICAPPED OR ILL OR IMPAIRED BY OLD AGE""."
"1017758","0","OVINGDEAN WOMEN'S INSTITUTE","418 FALMER ROAD, BRIGHTON","BN2 6LG","Brighton Kemptown and Peacehaven","01273301205","","","31/03/2025","4018","4380","Registered","Other","Provides Services, Other Charitable Activities","Education/training, Overseas Aid/famine Relief, Arts/culture/heritage/science, Amateur Sport, Environment/conservation/heritage, Economic/community Development/employment","Other Defined Groups, The General Public/mankind","As for all Women's Institutes - To improve & develop conditions of rural life in accordance with the constitution and rules of the Women's Institute.","TO ENABLE WOMEN TO TAKE AN EFFECTIVE PART IN RURAL LIFE AND DEVELOPMENT"
"1017761","0","HOVE WOMEN'S INSTITUTE","107 Harewood Court, Wilbury Road, HOVE, East Sussex","BN3 3GL","Hove and Portslade","01273430998","pie03@talktalk.net","","31/03/2024","10454","9612","Registered","Other","Other Charitable Activities","Recreation","The General Public/mankind","To provide a wider knowledge, understanding, education, and friendship among our members, with informative speakers and visits, with regular sociable meetings, within the influence of our National Federation of Women's Institutes","TO ENABLE WOMEN TO TAKE AN EFFECTIVE PART IN RURAL LIFE AND DEVELOPMENT"
"1019767","0","PARACLETE CHRISTIAN NETWORK INTERNATIONAL.","Flat 2, Marlin Court, 32 Brighton Road, LANCING, West Sussex","BN15 8EX","East Worthing and Shoreham","01903522279","paracleteonline@gmail.com","www.paraclete.org.uk","05/04/2025","61347","52985","Registered","Trust","Makes Grants To Organisations, Provides Human Resources, Provides Services","Education/training, Religious Activities","People Of A Particular Ethnic Or Racial Origin, The General Public/mankind","Ministry and Bible Teaching","TO ADVANCE THE CHRISTIAN RELIGION."
"1020192","0","THE GRACE EYRE FOUNDATION","The Grace Eyre Foundation, Telecom House, Ground Floor West, 125-135 Preston Road, Brighton","BN1 6AF","Brighton Pavilion","01273201900","enquiries@grace-eyre.org","www.grace-eyre.org","31/03/2025","12673646","12560359","Registered","Charitable company","Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information","Education/training, Disability, Accommodation/housing, Arts/culture/heritage/science, Amateur Sport","Children/young People, People With Disabilities","The charity works with and supports 650 people with learning disabilities and/or autism.  The main activities are  1 - Choices supported living schemes  & community support, 2 - housing, 3  - shared lives scheme and 4 - Active Lives, day time opportunities such as supported employment, travel buddy scheme, friendship groups, education, training , creative arts and sports and leisure.","THE OBJECTS OF THE CHARITY ARE TO SUPPORT AND ASSIST PEOPLE WITH LEARNING DISABILITIES, MENTAL HEALTH NEEDS, PHYSICAL OR SENSORY DISABILITIES, OLD AGE OR ANY OTHER SIMILAR SUPPORT NEED BY ARRANGING, PROVIDING OR ASSISTING IN PROVIDING ACCOMMODATION, EMPLOYMENT, EDUCATION, TRAINING, RECREATION, OCCUPATIONAL ACTIVITIES AND SIMILAR SERVICES."
"1021026","0","FRIENDS OF JEANNE SAUNDERS","THE JEANNE SAUNDERS CENTRE, 31 PALMEIRA AVENUE, HOVE","BN3 3GD","Hove and Portslade","01273294944","presens@brighton-hove.gov.uk","","31/08/2024","0","0","Registered","Other","Other Charitable Activities","Education/training, Disability","Children/young People, People With Disabilities","The Friends of Jeanne Saunders undertakes fund raising activities which enable monies to be provided for special equipment or projects to support pre-school children with special needs in Brighton and Hove.","TO RELIEVE HARDSHIP AND DISTRESS BY CONTRIBUTING TO THE CARE OF THE CHILDREN WITH SPECIAL NEEDS ATTENDING THE JEANNE SAUNDERS CENTRE BY PROVIDING OR ASSISTING IN THE PROVIDING OR ASSISTING IN THE PROVISION OF ADDITIONAL FACILITIES FOR THEIR CARE AND SPECIAL NEEDS"
"1023278","0","FRIENDS OF ST MARGARET'S CHURCH OF ENGLAND SCHOOL","St. Margarets Primary School, Whiteway Lane, Rottingdean, BRIGHTON","BN2 7HB","Brighton Kemptown and Peacehaven","01273 303109","admin@stmargarets.brighton-hove.sch.uk","","31/08/2024","7881","9357","Registered","Other","Provides Human Resources","General Charitable Purposes, Education/training, Amateur Sport, Recreation","Children/young People","Fundraising within the school community in order to donate money to the school for the childrens benefit","TO ADVANCE THE EDUCATION OF THE PUPILS IN THE SCHOOL"
"1024216","0","31ST BRIGHTON SCOUT GROUP","123 WOODLAND AVENUE, HOVE","BN3 6BJ","Hove and Portslade","01273507695","JTALLENTED@YAHOO.CO.UK","","31/08/2022","3000","6439","Registered","Other","Provides Human Resources, Provides Buildings/facilities/open Space","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives","Children/young People","The objectives of the Group are as a unit of the Scout Association. The main activities in relation to these objectives is the provision of the weekly section meetings, as follows:
Beaver Scouts Thursdays 5 - 6.
Cub Scouts Thursdays 6.30 - 8, Scouts Wednesdays 6.30 to 8","TO PROMOTE THE DEVELOPMENT OF YOUNG PEOPLE IN ACHIEVING THEIR FULL PHYSICAL INTELLECTUAL SOCIAL AND SPIRITUAL POTENTIALS AS INDIVIDUALS AS RESPONSIBLE CITIZENS AND AS MEMBERS OF THEIR LOCAL NATIONAL AND INTERNATIONAL COMMUNITIES"
